supplier_id,supplier_name,contact_person,email,phone,country,lead_time_days,payment_terms,last_audit_date,risk_score
SUP-001,Malaysia Supplier 001 Sdn Bhd,Ahmad 1,procurement1@supplier001.example.com,+60171054447,Malaysia,19,Net 15,2023-08-11,0.12
SUP-002,Malaysia Supplier 002 Sdn Bhd,Kumar 2,procurement2@supplier002.example.com,+60184337174,Malaysia,12,Net 60,2023-02-24,0.35
SUP-003,Malaysia Supplier 003 Sdn Bhd,Nurul 3,procurement3@supplier003.example.com,,Malaysia,34,Net 30,2024-02-03,0.37
SUP-004,Malaysia Supplier 004 Sdn Bhd,Ahmad 4,procurement4@supplier004.example.com,+60105041154,Malaysia,39,Net 30,2023-06-07,0.61
SUP-005,Malaysia Supplier 005 Sdn Bhd,Nurul 5,procurement5@supplier005.example.com,,Malaysia,45,COD,2023-02-05,0.49
SUP-006,China Supplier 006 Sdn Bhd,Nurul 6,procurement6@supplier006.example.com,+60164553384,China,37,Net 45,2023-09-28,0.15
SUP-007,Malaysia Supplier 007 Sdn Bhd,Kumar 7,procurement7@supplier007.example.com,+60179683481,Malaysia,31,Net 30,2023-12-10,0.29
SUP-008,Malaysia Supplier 008 Sdn Bhd,Lee 8,,+60194860684,Malaysia,40,Net 45,2023-06-23,0.18
SUP-009,Malaysia Supplier 009 Sdn Bhd,Lee 9,procurement9@supplier009.example.com,+60132130789,Malaysia,5,Net 60,2023-11-20,0.09
SUP-010,Malaysia Supplier 010 Sdn Bhd,Tan 10,,+60133219824,Malaysia,39,Net 15,2023-05-23,0.36
SUP-011,Malaysia Supplier 011 Sdn Bhd,Tan 11,procurement11@supplier011.example.com,+60132582524,Malaysia,9,COD,2023-08-31,0.20
SUP-012,Malaysia Supplier 012 Sdn Bhd,Lee 12,procurement12@supplier012.example.com,+60112016911,Malaysia,28,Net 60,2023-08-28,0.30
SUP-013,Malaysia Supplier 013 Sdn Bhd,Nurul 13,,,Malaysia,30,Net 45,2023-04-08,0.20
SUP-014,Malaysia Supplier 014 Sdn Bhd,Tan 14,procurement14@supplier014.example.com,+60182642635,Malaysia,6,Net 15,2023-02-08,0.33
SUP-015,Malaysia Supplier 015 Sdn Bhd,Ahmad 15,procurement15@supplier015.example.com,+60127818496,Malaysia,34,COD,2024-01-21,0.63
SUP-016,Malaysia Supplier 016 Sdn Bhd,Ahmad 16,procurement16@supplier016.example.com,+60161036161,Malaysia,27,Net 60,2023-01-31,0.57
SUP-017,Malaysia Supplier 017 Sdn Bhd,Nurul 17,,+60173597059,Malaysia,15,Net 60,2023-12-23,0.22
SUP-018,Malaysia Supplier 018 Sdn Bhd,Nurul 18,procurement18@supplier018.example.com,+60106261415,Malaysia,6,Net 30,2023-10-24,0.63
SUP-019,Singapore Supplier 019 Sdn Bhd,Ahmad 19,procurement19@supplier019.example.com,+60109519948,Singapore,8,Net 45,2023-09-29,0.34
SUP-020,Malaysia Supplier 020 Sdn Bhd,Ahmad 20,procurement20@supplier020.example.com,,Malaysia,39,Net 45,2023-12-12,0.41
SUP-021,Singapore Supplier 021 Sdn Bhd,Lee 21,procurement21@supplier021.example.com,+60169770838,Singapore,23,Net 60,2023-11-14,0.41
SUP-022,Malaysia Supplier 022 Sdn Bhd,Ahmad 22,procurement22@supplier022.example.com,+60147640184,Malaysia,11,Net 60,2023-06-10,0.45
SUP-023,Malaysia Supplier 023 Sdn Bhd,Lee 23,procurement23@supplier023.example.com,+60108688755,Malaysia,42,Net 15,2024-01-20,0.24
SUP-024,Malaysia Supplier 024 Sdn Bhd,Nurul 24,,+60143222252,Malaysia,25,Net 30,2023-04-20,0.09
SUP-025,Malaysia Supplier 025 Sdn Bhd,Tan 25,,+60186075395,Malaysia,42,Net 15,2023-03-22,0.27
SUP-026,Malaysia Supplier 026 Sdn Bhd,Kumar 26,,,Malaysia,19,Net 30,2023-10-11,0.45
SUP-027,Malaysia Supplier 027 Sdn Bhd,Kumar 27,procurement27@supplier027.example.com,+60144533779,Malaysia,24,Net 45,2023-03-21,0.50
SUP-028,Thailand Supplier 028 Sdn Bhd,Nurul 28,procurement28@supplier028.example.com,+60175213115,Thailand,6,Net 30,2023-05-16,0.43
SUP-029,Thailand Supplier 029 Sdn Bhd,Lee 29,procurement29@supplier029.example.com,+60106596150,Thailand,11,Net 60,2023-05-22,0.30
SUP-030,Malaysia Supplier 030 Sdn Bhd,Tan 30,procurement30@supplier030.example.com,+60181162230,Malaysia,10,Net 30,2023-10-10,0.90
SUP-031,Malaysia Supplier 031 Sdn Bhd,Nurul 31,procurement31@supplier031.example.com,+60183484601,Malaysia,30,Net 45,2023-07-09,0.38
SUP-032,Malaysia Supplier 032 Sdn Bhd,Kumar 32,,+60135186414,Malaysia,45,Net 30,2023-01-21,0.23
SUP-033,Malaysia Supplier 033 Sdn Bhd,Nurul 33,procurement33@supplier033.example.com,+60124971793,Malaysia,13,Net 45,2023-07-28,0.52
SUP-034,Malaysia Supplier 034 Sdn Bhd,Kumar 34,procurement34@supplier034.example.com,+60165163555,Malaysia,20,Net 45,2024-01-13,0.06
SUP-035,Malaysia Supplier 035 Sdn Bhd,Tan 35,procurement35@supplier035.example.com,+60134348276,Malaysia,32,Net 60,2023-01-20,0.28
SUP-036,Malaysia Supplier 036 Sdn Bhd,Ahmad 36,procurement36@supplier036.example.com,+60104240180,Malaysia,28,Net 60,2023-04-27,0.54
SUP-037,Malaysia Supplier 037 Sdn Bhd,Kumar 37,procurement37@supplier037.example.com,+60159546409,Malaysia,28,Net 15,2024-01-31,0.57
